,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Cocoa Level,Number_of_Ingredients,Ingredient Level,Rating,Rating Level,Ingredients_abbr,Most Memorable Characteristics
0,Manoa,U.S.A.,2012,Liberia,"Liberia, batch 174",0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","molassses, intense, off, herb"
1,Manoa,U.S.A.,2012,U.S.A.,"Hawai'i Island, Hamakua, Hawaiian Crown, b. 176",0.72,Mid percent,3,3,2.75,Mid-level,"B,S,C","oily, tangy, fruit, earthy"
2,Manoa,U.S.A.,2012,Peru,"Piura, batch 173",0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","banana, menthol, medicinal"
3,Manoa,U.S.A.,2012,U.S.A.,"O'ahu Island, Winward,Maunawili district, b. 151",0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","molasses, sweet, cocoa"
4,Nanea,U.S.A.,2013,U.S.A.,Criollo Blend,0.85,High percent,3,3,3.5,Mid-level,,"sandy, spicy, earthy"
17,Night Owl,U.S.A.,2013,Peru,Peru,0.75,High percent,3,3,2.75,Mid-level,"B,S,C","spicy, red fruit, raisins"
18,Night Owl,U.S.A.,2013,Ecuador,Ecuador,0.75,High percent,3,3,3.5,Mid-level,"B,S,C","single note, spicy"
19,twenty-four blackbirds,U.S.A.,2013,Dominican Republic,"Dominican Republic, batch 85",0.68,Mid percent,2,2,3.25,Mid-level,"B,S","roasty, sligt burnt, red fruit"
20,Moho,U.S.A.,2013,Belize,"Toledo District, w/ nibs",0.73,Mid percent,3,3,3.25,Mid-level,"B,S,C",basic cocoa
21,twenty-four blackbirds,U.S.A.,2013,Bolivia,"Palos Blancos, batch 97",0.75,High percent,2,2,2.5,Mid-level,"B,S","roasty, bitter, caramel, dairy"
22,Dandelion,U.S.A.,2013,Venezuela,"Cumboto, farmer Jose Lugo, batch 1",0.7,Mid percent,2,2,2.75,Mid-level,"B,S","acidic, sour, cocoa"
