,Cocoa Percent,Number_of_Ingredients,Rating,clusters,cluster
0,0.72,3,3.25,1,purple
1,0.72,3,2.75,0,tan
2,0.72,3,3.0,0,tan
3,0.72,3,3.25,1,purple
4,0.85,3,3.5,0,tan
5,0.7,4,2.75,2,black
6,0.7,4,3.0,2,black
7,0.7,4,3.25,2,black
8,0.7,4,3.75,2,black
9,0.7,4,2.75,2,black
10,0.7,4,3.0,2,black
11,0.7,4,3.25,2,black
12,0.7,4,4.0,1,purple
13,0.7,4,3.25,2,black
14,0.7,4,3.5,2,black
15,0.63,3,4.0,1,purple
16,0.77,3,3.75,1,purple
17,0.75,3,2.75,0,tan
18,0.75,3,3.5,1,purple
19,0.68,2,3.25,1,purple
20,0.73,3,3.25,1,purple
21,0.75,2,2.5,0,tan
22,0.7,2,2.75,0,tan
23,0.7,2,3.25,1,purple
24,0.72,3,3.25,1,purple
25,0.7,2,4.0,1,purple
26,0.72,3,3.0,0,tan
27,0.7,3,3.25,1,purple
28,0.7,3,3.25,1,purple
29,0.7,3,3.5,1,purple
30,0.67,3,4.0,1,purple
31,0.7,2,3.25,1,purple
32,0.75,4,3.0,2,black
33,0.8,4,3.5,1,purple
34,0.7,2,3.5,1,purple
35,0.75,3,3.5,1,purple
36,0.66,2,3.5,1,purple
37,0.7,2,3.25,1,purple
38,0.7,2,3.5,1,purple
39,0.75,3,3.25,1,purple
40,0.7,3,3.75,1,purple
41,0.7,4,3.75,2,black
42,0.82,4,3.5,1,purple
43,0.65,5,2.5,2,black
44,0.58,3,2.5,2,black
45,0.7,3,3.0,0,tan
46,0.75,4,3.0,2,black
47,0.62,5,2.0,2,black
48,0.74,5,3.0,2,black
49,0.65,5,2.75,2,black
50,0.65,5,2.75,2,black
51,0.65,5,3.25,2,black
52,0.65,5,3.5,2,black
53,0.75,3,3.25,1,purple
54,0.85,3,3.5,0,tan
55,0.7,4,3.0,2,black
56,0.66,5,3.0,2,black
57,0.7,5,3.5,2,black
58,0.75,5,3.25,2,black
59,0.68,4,3.25,2,black
60,0.75,5,2.5,2,black
61,0.75,4,3.25,2,black
62,0.9,2,3.0,0,tan
63,0.72,4,3.0,2,black
64,0.82,2,3.5,1,purple
65,0.82,5,3.0,2,black
66,0.55,5,3.25,2,black
67,0.55,3,2.75,2,black
68,0.8,3,3.25,0,tan
69,0.62,5,3.25,2,black
70,0.7,4,2.5,2,black
71,0.7,3,2.75,0,tan
72,0.7,3,3.75,1,purple
73,0.7,3,3.25,1,purple
74,0.7,3,3.75,1,purple
75,0.88,3,4.0,1,purple
76,0.7,3,4.0,1,purple
77,0.72,3,3.75,1,purple
78,0.7,2,3.5,1,purple
79,0.75,2,4.0,1,purple
80,0.67,3,4.0,1,purple
81,0.72,3,3.75,1,purple
